,,% Trade,% of ETF,CUSIP,Date,Direction,FUND,Name,Shares,Ticker
6410,,,,,2020-04-02,Buy,,,,PSTG
6411,,,,,2020-04-02,Buy,,,,SPLK
6412,,,,,2020-04-02,Buy,,,,TREE
6413,,,,,2020-04-02,Buy,,,,TWOU
6414,,,,,2020-04-02,Sell,,,,TWTR
6415,,,,,2020-04-02,Sell,,,,TWTR
6416,,,,,2020-04-02,Sell,,,,TWTR
6417,,,,,2020-04-01,Sell,,,,INO
6418,,,,,2020-04-01,Buy,,,,NVTA
6419,,,,,2020-04-01,Buy,,,,PACB
6420,,,,,2020-04-01,Buy,,,,PSTG
6421,,,,,2020-04-01,Sell,,,,TDOC
6422,,,,,2020-04-01,Sell,,,,AVAV
6423,,,,,2020-04-01,Buy,,,,PD
6424,,,,,2020-04-01,Buy,,,,PSTG
6425,,,,,2020-04-01,Buy,,,,TWOU
6426,,,,,2020-04-01,Sell,,,,TWTR
6427,,,,,2020-04-01,Sell,,,,TWTR
6428,,,,,2020-04-01,Sell,,,,AMZN
6429,,,,,2020-04-01,Sell,,,,JD
6430,,,,,2020-04-01,Sell,,,,NVDA
6431,,,,,2020-04-01,Buy,,,,PRLB
6432,,,,,2020-04-01,Buy,,,,TWOU
6433,,,,,2020-03-31,Buy,,,,CERS
6434,,,,,2020-03-31,Sell,,,,丨LMN
6435,,,,,2020-03-31,Buy,,,,TREE
6436,,,,,2020-03-31,Buy,,,,TREE
6437,,,,,2020-03-31,Sell,,,,NFLX
6438,,,,,2020-03-31,Sell,,,,TCEHY
6439,,,,,2020-03-31,Buy,,,,TREE
6440,,,,,2020-03-30,Sell,,,,NVDA
6441,,,,,2020-03-30,Buy,,,,PINS
6442,,,,,2020-03-30,Buy,,,,CERS
6443,,,,,2020-03-30,Buy,,,,PACB
6444,,,,,2020-03-30,Sell,,,,AVAV
6445,,,,,2020-03-30,Buy,,,,PD
6446,,,,,2020-03-30,Buy,,,,PD
6447,,,,,2020-03-30,Buy,,,,TREE
6448,,,,,2020-03-30,Sell,,,,ANSS
6449,,,,,2020-03-30,Sell,,,,CSOD
6450,,,,,2020-03-30,Buy,,,,FLIR
6451,,,,,2020-03-30,Buy,,,,PRLB
6452,,,,,2020-03-30,Buy,,,,AYX
6453,,,,,2020-03-30,Buy,,,,HUYA
6454,,,,,2020-03-30,Buy,,,,PD
6455,,,,,2020-03-30,Buy,,,,PD
6456,,,,,2020-03-30,Sell,,,,ZS
6457,,,,,2020-03-27,Buy,,,,CERS
6458,,,,,2020-03-27,Sell,,,,AVAV
6459,,,,,2020-03-27,Buy,,,,CERS
6460,,,,,2020-03-27,Buy,,,,CERS
6461,,,,,2020-03-27,Buy,,,,CERS
6462,,,,,2020-03-27,Sell,,,,NVDA
6463,,,,,2020-03-27,Buy,,,,PD
6464,,,,,2020-03-27,Buy,,,,PD
6465,,,,,2020-03-27,Buy,,,,PINS
6466,,,,,2020-03-27,Buy,,,,PINS
6467,,,,,2020-03-27,Buy,,,,PINS
6468,,,,,2020-03-27,Buy,,,,TREE
6469,,,,,2020-03-27,Sell,,,,TWTR
6470,,,,,2020-03-27,Sell,,,,NVDA
6471,,,,,2020-03-27,Buy,,,,PD
6472,,,,,2020-03-27,Buy,,,,PD
6473,,,,,2020-03-27,Buy,,,,PINS
6474,,,,,2020-03-27,Sell,,,,TWTR
6475,,,,,2020-03-25,Sell,,,,CSOD
6476,,,,,2020-03-25,Buy,,,,FLIR
6477,,,,,2020-03-25,Buy,,,,CGEN
6478,,,,,2020-03-25,Sell,,,,PGEN
6479,,,,,2020-03-25,Buy,,,,TWST
6480,,,,,2020-03-24,Sell,,,,CSOD
6481,,,,,2020-03-24,Buy,,,,TWOU
6482,,,,,2020-03-24,Buy,,,,CGEN
6483,,,,,2020-03-24,Buy,,,,NVTA
6484,,,,,2020-03-24,Sell,,,,PGEN
6485,,,,,2020-03-24,Buy,,,,TWST
6486,,,,,2020-03-23,Sell,,,,AMZN
6487,,,,,2020-03-23,Sell,,,,DOCU
6488,,,,,2020-03-23,Buy,,,,HDB
6489,,,,,2020-03-23,Sell,,,,MELI
6490,,,,,2020-03-23,Sell,,,,NVDA
6491,,,,,2020-03-23,Buy,,,,SQ
6492,,,,,2020-03-23,Buy,,,,SQ
6493,,,,,2020-03-23,Buy,,,,CGEN
6494,,,,,2020-03-23,Sell,,,,PGEN
6495,,,,,2020-03-23,Buy,,,,PSNL
6496,,,,,2020-03-23,Sell,,,,TDOC
6497,,,,,2020-03-23,Buy,,,,TWST
6498,,,,,2020-03-23,Buy,,,,VCYT
6499,,,,,2020-03-23,Sell,,,,CRSP
6500,,,,,2020-03-23,Sell,,,,EDIT
6501,,,,,2020-03-23,Sell,,,,MELI
6502,,,,,2020-03-23,Sell,,,,NVDA
6503,,,,,2020-03-23,Sell,,,,NVDA
6504,,,,,2020-03-23,Buy,,,,PD
6505,,,,,2020-03-23,Buy,,,,PD
6506,,,,,2020-03-23,Buy,,,,PRLB
6507,,,,,2020-03-23,Buy,,,,SQ
6508,,,,,2020-03-23,Buy,,,,TREE
6509,,,,,2020-03-23,Buy,,,,AAPL
6510,,,,,2020-03-23,Buy,,,,IRDM
6511,,,,,2020-03-23,Buy,,,,ISRG
6512,,,,,2020-03-23,Sell,,,,JD
6513,,,,,2020-03-23,Sell,,,,NVDA
6514,,,,,2020-03-23,Buy,,,,AAPL
6515,,,,,2020-03-23,Sell,,,,PDD
6516,,,,,2020-03-23,Sell,,,,TCEHY
6517,,,,,2020-03-20,Buy,,,,PSNL
6518,,,,,2020-03-20,Buy,,,,CERS
6519,,,,,2020-03-20,Sell,,,,MELI
6520,,,,,2020-03-20,Buy,,,,PRLB
6521,,,,,2020-03-20,Buy,,,,TREE
6522,,,,,2020-03-20,Buy,,,,PRLB
6523,,,,,2020-03-20,Sell,,,,TSM
6524,,,,,2020-03-19,Buy,,,,PACB
6525,,,,,2020-03-19,Buy,,,,PACB
6526,,,,,2020-03-19,Buy,,,,PSNL
6527,,,,,2020-03-19,Sell,,,,TDOC
6528,,,,,2020-03-19,Buy,,,,VCYT
6529,,,,,2020-03-19,Sell,,,,AVAV
6530,,,,,2020-03-19,Buy,,,,SQ
6531,,,,,2020-03-19,Sell,,,,APTV
6532,,,,,2020-03-19,Buy,,,,FLIR
6533,,,,,2020-03-19,Buy,,,,FLIR
6534,,,,,2020-03-19,Buy,,,,FLIR
6535,,,,,2020-03-19,Buy,,,,KMTUY
6536,,,,,2020-03-19,Sell,,,,MELI
6537,,,,,2020-03-19,Buy,,,,SQ
6538,,,,,2020-03-19,Buy,,,,TREE
6539,,,,,2020-03-18,Buy,,,,CERS
6540,,,,,2020-03-18,Buy,,,,NSTG
6541,,,,,2020-03-18,Buy,,,,PACB
6542,,,,,2020-03-18,Buy,,,,PSNL
6543,,,,,2020-03-18,Buy,,,,PSTG
6544,,,,,2020-03-18,Sell,,,,TDOC
6545,,,,,2020-03-18,Sell,,,,TDOC
6546,,,,,2020-03-18,Buy,,,,VCYT
6547,,,,,2020-03-18,Sell,,,,AVAV
6548,,,,,2020-03-18,Buy,,,,CERS
6549,,,,,2020-03-18,Sell,,,,EB
6550,,,,,2020-03-18,Sell,,,,IOVA
6551,,,,,2020-03-18,Sell,,,,MELI
6552,,,,,2020-03-18,Sell,,,,NFLX
6553,,,,,2020-03-18,Buy,,,,NVTA
6554,,,,,2020-03-18,Sell,,,,PYPL
6555,,,,,2020-03-18,Sell,,,,SE
6556,,,,,2020-03-18,Sell,,,,SNAP
6557,,,,,2020-03-18,Buy,,,,SQ
6558,,,,,2020-03-18,Sell,,,,TCEHY
6559,,,,,2020-03-18,Sell,,,,TDOC
6560,,,,,2020-03-18,Buy,,,,TSLA
6561,,,,,2020-03-18,Sell,,,,XLNX
6562,,,,,2020-03-18,Buy,,,,Z
6563,,,,,2020-03-18,Buy,,,,Z
6564,,,,,2020-03-18,Sell,,,,JD
6565,,,,,2020-03-18,Buy,,,,TSLA
6566,,,,,2020-03-18,Buy,,,,TWOU
6567,,,,,2020-03-18,Sell,,,,BABA
6568,,,,,2020-03-18,Sell,,,,NFLX
6569,,,,,2020-03-18,Buy,,,,SQ
6570,,,,,2020-03-18,Sell,,,,TDOC
6571,,,,,2020-03-18,Buy,,,,TSLA
6572,,,,,2020-03-18,Buy,,,,TWOU
6573,,,,,2020-03-18,Buy,,,,Z
6574,,,,,2020-03-18,Buy,,,,Z
6575,,,,,2020-03-17,Buy,,,,CERS
6576,,,,,2020-03-17,Buy,,,,CGEN
6577,,,,,2020-03-17,Sell,,,,INO
6578,,,,,2020-03-17,Sell,,,,INO
6579,,,,,2020-03-17,Buy,,,,NVTA
6580,,,,,2020-03-17,Buy,,,,PSTG
6581,,,,,2020-03-17,Sell,,,,RUBY
6582,,,,,2020-03-17,Sell,,,,TDOC
6583,,,,,2020-03-17,Sell,,,,AVAV
6584,,,,,2020-03-17,Sell,,,,MELI
6585,,,,,2020-03-17,Buy,,,,NVTA
6586,,,,,2020-03-17,Buy,,,,NVTA
6587,,,,,2020-03-17,Buy,,,,PD
6588,,,,,2020-03-17,Buy,,,,PSTG
6589,,,,,2020-03-17,Buy,,,,ROKU
6590,,,,,2020-03-17,Buy,,,,ROKU
6591,,,,,2020-03-17,Sell,,,,SE
6592,,,,,2020-03-17,Sell,,,,SE
6593,,,,,2020-03-17,Sell,,,,SNAP
6594,,,,,2020-03-17,Sell,,,,SNAP
6595,,,,,2020-03-17,Buy,,,,SQ
6596,,,,,2020-03-17,Buy,,,,TSLA
6597,,,,,2020-03-17,Buy,,,,TSLA
6598,,,,,2020-03-17,Buy,,,,TWOU
6599,,,,,2020-03-17,Buy,,,,TWOU
6600,,,,,2020-03-17,Sell,,,,TWTR
6601,,,,,2020-03-17,Sell,,,,TWTR
6602,,,,,2020-03-17,Buy,,,,Z
6603,,,,,2020-03-17,Sell,,,,JD
6604,,,,,2020-03-17,Buy,,,,MTLS
6605,,,,,2020-03-17,Sell,,,,TCEHY
6606,,,,,2020-03-17,Buy,,,,TSLA
6607,,,,,2020-03-17,Buy,,,,TSLA
6608,,,,,2020-03-17,Sell,,,,BABA
6609,,,,,2020-03-17,Sell,,,,CRM
6610,,,,,2020-03-17,Sell,,,,NFLX
6611,,,,,2020-03-17,Buy,,,,TSLA
6612,,,,,2020-03-17,Buy,,,,TSLA
6613,,,,,2020-03-17,Buy,,,,Z
6614,,,,,2020-03-16,Sell,,,,BABA
6615,,,,,2020-03-16,Sell,,,,CRM
6616,,,,,2020-03-16,Sell,,,,EB
6617,,,,,2020-03-16,Buy,,,,ICE
6618,,,,,2020-03-16,Buy,,,,MELI
6619,,,,,2020-03-16,Buy,,,,PINS
6620,,,,,2020-03-16,Sell,,,,PYPL
6621,,,,,2020-03-16,Buy,,,,SI
6622,,,,,2020-03-16,Buy,,,,SNAP
6623,,,,,2020-03-16,Buy,,,,SQ
6624,,,,,2020-03-16,Sell,,,,TCEHY
6625,,,,,2020-03-16,Buy,,,,Z
6626,,,,,2020-03-16,Buy,,,,CGEN
6627,,,,,2020-03-16,Buy,,,,NVTA
6628,,,,,2020-03-16,Sell,,,,RUBY
6629,,,,,2020-03-16,Sell,,,,TDOC
6630,,,,,2020-03-16,Sell,,,,AVAV
6631,,,,,2020-03-16,Sell,,,,CRM
6632,,,,,2020-03-16,Buy,,,,NVTA
6633,,,,,2020-03-16,Buy,,,,SQ
6634,,,,,2020-03-16,Buy,,,,TSLA
6635,,,,,2020-03-16,Buy,,,,TWOU
6636,,,,,2020-03-16,Sell,,,,TWTR
6637,,,,,2020-03-16,Buy,,,,Z
6638,,,,,2020-03-16,Sell,,,,JD
6639,,,,,2020-03-16,Sell,,,,SNPS
6640,,,,,2020-03-16,Buy,,,,TSLA
6641,,,,,2020-03-16,Buy,,,,TWOU
6642,,,,,2020-03-16,Buy,,,,AMZN
6643,,,,,2020-03-16,Buy,,,,AMZN
6644,,,,,2020-03-16,Sell,,,,PYPL
6645,,,,,2020-03-16,Sell,,,,PYPL
6646,,,,,2020-03-16,Buy,,,,PYPL
6647,,,,,2020-03-16,Sell,,,,PYPL
6648,,,,,2020-03-16,Sell,,,,SPOT
6649,,,,,2020-03-16,Buy,,,,SQ
6650,,,,,2020-03-16,Sell,,,,TDOC
6651,,,,,2020-03-16,Buy,,,,TSLA
6652,,,,,2020-03-16,Buy,,,,TWOU
6653,,,,,2020-03-16,Buy,,,,Z
6654,,,,,2020-03-13,Buy,,,,GBTC
6655,,,,,2020-03-13,Sell,,,,NFLX
6656,,,,,2020-03-13,Buy,,,,PD
6657,,,,,2020-03-13,Sell,,,,TDOC
6658,,,,,2020-03-13,Buy,,,,TSLA
6659,,,,,2020-03-13,Buy,,,,TWOU
6660,,,,,2020-03-13,Sell,,,,NSTG
6661,,,,,2020-03-13,Buy,,,,NVTA
6662,,,,,2020-03-12,Sell,,,,BIDU
6663,,,,,2020-03-12,Buy,,,,IRDM
6664,,,,,2020-03-12,Buy,,,,SPLK
6665,,,,,2020-03-12,Sell,,,,TCEHY
6666,,,,,2020-03-12,Sell,,,,CRM
6667,,,,,2020-03-12,Sell,,,,EB
6668,,,,,2020-03-12,Buy,,,,GBTC
6669,,,,,2020-03-12,Buy,,,,PSTG
6670,,,,,2020-03-12,Buy,,,,ROKU
6671,,,,,2020-03-12,Buy,,,,SPLK
6672,,,,,2020-03-12,Sell,,,,SPOT
6673,,,,,2020-03-12,Buy,,,,SQ
6674,,,,,2020-03-12,Buy,,,,SQ
6675,,,,,2020-03-12,Buy,,,,SQ
6676,,,,,2020-03-12,Buy,,,,Z
6677,,,,,2020-03-12,Buy,,,,Z
6678,,,,,2020-03-12,Buy,,,,CGEN
6679,,,,,2020-03-12,Sell,,,,CRM
6680,,,,,2020-03-12,Sell,,,,CRM
6681,,,,,2020-03-12,Buy,,,,IRDM
6682,,,,,2020-03-12,Buy,,,,IRDM
6683,,,,,2020-03-12,Buy,,,,NVTA
6684,,,,,2020-03-12,Buy,,,,NVTA
6685,,,,,2020-03-12,Buy,,,,PRLB
6686,,,,,2020-03-12,Buy,,,,PRLB
6687,,,,,2020-03-12,Buy,,,,PSTG
6688,,,,,2020-03-12,Buy,,,,PSTG
6689,,,,,2020-03-12,Buy,,,,PSTG
6690,,,,,2020-03-12,Buy,,,,ROKU
6691,,,,,2020-03-12,Buy,,,,SPLK
6692,,,,,2020-03-12,Buy,,,,SQ
6693,,,,,2020-03-12,Buy,,,,SQ
6694,,,,,2020-03-12,Buy,,,,SQ
6695,,,,,2020-03-12,Sell,,,,TCEHY
6696,,,,,2020-03-12,Sell,,,,TDOC
6697,,,,,2020-03-12,Sell,,,,TDOC
6698,,,,,2020-03-12,Sell,,,,TWOU
6699,,,,,2020-03-12,Buy,,,,Z
6700,,,,,2020-03-12,Buy,,,,ARCT
6701,,,,,2020-03-12,Buy,,,,CGEN
6702,,,,,2020-03-12,Buy,,,,CLLS
6703,,,,,2020-03-12,Buy,,,,CLLS
6704,,,,,2020-03-12,Sell,,,,INO
6705,,,,,2020-03-12,Sell,,,,INO
6706,,,,,2020-03-12,Sell,,,,INO
6707,,,,,2020-03-12,Buy,,,,NVTA
6708,,,,,2020-03-12,Buy,,,,NVTA
6709,,,,,2020-03-12,Sell,,,,RUBY
6710,,,,,2020-03-11,Buy,,,,ADSK
6711,,,,,2020-03-11,Sell,,,,JD
6712,,,,,2020-03-11,Buy,,,,SPLK
6713,,,,,2020-03-11,Buy,,,,TRMB
6714,,,,,2020-03-11,Sell,,,,TWOU
6715,,,,,2020-03-11,Sell,,,,NFLX
6716,,,,,2020-03-11,Buy,,,,PD
6717,,,,,2020-03-11,Buy,,,,PDD
6718,,,,,2020-03-11,Buy,,,,PINS
6719,,,,,2020-03-11,Buy,,,,SPLK
6720,,,,,2020-03-11,Buy,,,,SQ
6721,,,,,2020-03-11,Sell,,,,TCEHY
6722,,,,,2020-03-11,Sell,,,,TDOC
6723,,,,,2020-03-11,Buy,,,,TREE
6724,,,,,2020-03-11,Buy,,,,Z
6725,,,,,2020-03-11,Buy,,,,Z
6726,,,,,2020-03-11,Buy,,,,ADSK
6727,,,,,2020-03-11,Buy,,,,ADSK
6728,,,,,2020-03-11,Buy,,,,IRDM
6729,,,,,2020-03-11,Sell,,,,NFLX
6730,,,,,2020-03-11,Buy,,,,PINS
6731,,,,,2020-03-11,Buy,,,,PINS
6732,,,,,2020-03-11,Buy,,,,PRLB
6733,,,,,2020-03-11,Buy,,,,PSTG
6734,,,,,2020-03-11,Buy,,,,PSTG
6735,,,,,2020-03-11,Buy,,,,SPLK
6736,,,,,2020-03-11,Buy,,,,SPLK
6737,,,,,2020-03-11,Buy,,,,SQ
6738,,,,,2020-03-11,Buy,,,,SQ
6739,,,,,2020-03-11,Sell,,,,TCEHY
6740,,,,,2020-03-11,Sell,,,,TCEHY
6741,,,,,2020-03-11,Sell,,,,TCEHY
6742,,,,,2020-03-11,Sell,,,,TCEHY
6743,,,,,2020-03-11,Buy,,,,TREE
6744,,,,,2020-03-11,Buy,,,,TREE
6745,,,,,2020-03-11,Buy,,,,Z
6746,,,,,2020-03-11,Buy,,,,Z
6747,,,,,2020-03-11,Buy,,,,Z
6748,,,,,2020-03-11,Buy,,,,ARCT
6749,,,,,2020-03-11,Buy,,,,CERS
6750,,,,,2020-03-11,Buy,,,,CLLS
6751,,,,,2020-03-11,Buy,,,,PACB
6752,,,,,2020-03-11,Buy,,,,PSTG
6753,,,,,2020-03-11,Buy,,,,PSTG
6754,,,,,2020-03-11,Sell,,,,TDOC
6755,,,,,2020-03-10,Buy,,,,ARCT
6756,,,,,2020-03-10,Sell,,,,CGEN
6757,,,,,2020-03-10,Buy,,,,NVTA
6758,,,,,2020-03-10,Sell,,,,TDOC
6759,,,,,2020-03-10,Sell,,,,CGEN
6760,,,,,2020-03-10,Buy,,,,NVTA
6761,,,,,2020-03-10,Buy,,,,PD
6762,,,,,2020-03-10,Buy,,,,PRLB
6763,,,,,2020-03-10,Buy,,,,SE
6764,,,,,2020-03-10,Buy,,,,SQ
6765,,,,,2020-03-10,Sell,,,,TCEHY
6766,,,,,2020-03-10,Sell,,,,TTD
6767,,,,,2020-03-10,Sell,,,,TWTR
6768,,,,,2020-03-10,Sell,,,,TWTR
6769,,,,,2020-03-10,Buy,,,,Z
6770,,,,,2020-03-10,Buy,,,,Z
6771,,,,,2020-03-10,Sell,,,,EB
6772,,,,,2020-03-10,Buy,,,,SQ
6773,,,,,2020-03-10,Sell,,,,TDOC
6774,,,,,2020-03-10,Buy,,,,Z
6775,,,,,2020-03-09,Sell,,,,BIDU
6776,,,,,2020-03-09,Buy,,,,MELI
6777,,,,,2020-03-09,Sell,,,,SHOP
6778,,,,,2020-03-09,Buy,,,,SPLK
6779,,,,,2020-03-09,Buy,,,,SQ
6780,,,,,2020-03-09,Buy,,,,TREE
6781,,,,,2020-03-09,Buy,,,,Z
6782,,,,,2020-03-09,Buy,,,,CDNA
6783,,,,,2020-03-09,Sell,,,,CGEN
6784,,,,,2020-03-09,Buy,,,,CRSP
6785,,,,,2020-03-09,Buy,,,,CRSP
6786,,,,,2020-03-09,Buy,,,,ILMN
6787,,,,,2020-03-09,Sell,,,,INO
6788,,,,,2020-03-09,Sell,,,,IONS
6789,,,,,2020-03-09,Buy,,,,NVTA
6790,,,,,2020-03-09,Buy,,,,NVTA
6791,,,,,2020-03-09,Buy,,,,PACB
6792,,,,,2020-03-09,Buy,,,,PACB
6793,,,,,2020-03-09,Sell,,,,TDOC
6794,,,,,2020-03-09,Buy,,,,TWST
6795,,,,,2020-03-09,Buy,,,,ADSK
6796,,,,,2020-03-09,Buy,,,,PD
6797,,,,,2020-03-09,Buy,,,,SQ
6798,,,,,2020-03-09,Buy,,,,TER
6799,,,,,2020-03-09,Sell,,,,TTD
6800,,,,,2020-03-09,Sell,,,,TTD
6801,,,,,2020-03-09,Sell,,,,TWTR
6802,,,,,2020-03-09,Sell,,,,TWTR
6803,,,,,2020-03-09,Buy,,,,Z
6804,,,,,2020-03-09,Buy,,,,Z
6805,,,,,2020-03-09,Buy,,,,ADSK
6806,,,,,2020-03-09,Sell,,,,BIDU
6807,,,,,2020-03-09,Buy,,,,丨RDM
6808,,,,,2020-03-09,Buy,,,,IRDM
6809,,,,,2020-03-09,Buy,,,,PRLB
6810,,,,,2020-03-09,Sell,,,,RKUNY
6811,,,,,2020-03-09,Sell,,,,ROK
6812,,,,,2020-03-09,Buy,,,,TER
6813,,,,,2020-03-09,Buy,,,,TRMB
6814,,,,,2020-03-09,Buy,,,,XLNX
6815,,,,,2020-03-09,Sell,,,,EB
6816,,,,,2020-03-09,Buy,,,,GBTC
6817,,,,,2020-03-09,Buy,,,,MELI
6818,,,,,2020-03-09,Buy,,,,ROKU
6819,,,,,2020-03-09,Buy,,,,SPLK
6820,,,,,2020-03-09,Buy,,,,SQ
6821,,,,,2020-03-09,Buy,,,,TREE
6822,,,,,2020-03-09,Sell,,,,TWTR
6823,,,,,2020-03-09,Sell,,,,TWTR
6824,,,,,2020-03-09,Buy,,,,XLNX
6825,,,,,2020-03-09,Buy,,,,Z
6826,,,,,2020-03-06,Sell,,,,GWRE
6827,,,,,2020-03-06,Buy,,,,DSY SJ
6828,,,,,2020-03-06,Buy,,,,CDXS
6829,,,,,2020-03-06,Sell,,,,CGEN
6830,,,,,2020-03-06,Buy,,,,CLLS
6831,,,,,2020-03-06,Buy,,,,CLLS
6832,,,,,2020-03-06,Buy,,,,CRSP
6833,,,,,2020-03-06,Buy,,,,FATE
6834,,,,,2020-03-06,Buy,,,,FATE
6835,,,,,2020-03-06,Buy,,,,GH
6836,,,,,2020-03-06,Buy,,,,GH
6837,,,,,2020-03-06,Buy,,,,ILMN
6838,,,,,2020-03-06,Sell,,,,INO
6839,,,,,2020-03-06,Sell,,,,INO
6840,,,,,2020-03-06,Sell,,,,INO
6841,,,,,2020-03-06,Sell,,,,INO
6842,,,,,2020-03-06,Sell,,,,INO
6843,,,,,2020-03-06,Buy,,,,NVTA
6844,,,,,2020-03-06,Buy,,,,NVTA
6845,,,,,2020-03-06,Buy,,,,PACB
6846,,,,,2020-03-06,Buy,,,,PSNL
6847,,,,,2020-03-06,Buy,,,,PSNL
6848,,,,,2020-03-06,Buy,,,,PSTG
6849,,,,,2020-03-06,Buy,,,,ADSK
6850,,,,,2020-03-06,Buy,,,,ADSK
6851,,,,,2020-03-06,Buy,,,,ADSK
6852,,,,,2020-03-06,Buy,,,,ADSK
6853,,,,,2020-03-06,Buy,,,,ADSK
6854,,,,,2020-03-06,Sell,,,,EB
6855,,,,,2020-03-06,Sell,,,,EB
6856,,,,,2020-03-06,Sell,,,,EB
6857,,,,,2020-03-06,Buy,,,,MTLS
6858,,,,,2020-03-06,Sell,,,,NFLX
6859,,,,,2020-03-06,Buy,,,,PD
6860,,,,,2020-03-06,Buy,,,,PINS
6861,,,,,2020-03-06,Buy,,,,ROKU
6862,,,,,2020-03-06,Buy,,,,ROKU
6863,,,,,2020-03-06,Buy,,,,SNAP
6864,,,,,2020-03-06,Buy,,,,SPLK
6865,,,,,2020-03-06,Buy,,,,SQ
6866,,,,,2020-03-06,Sell,,,,TCEHY
6867,,,,,2020-03-06,Sell,,,,TDOC
6868,,,,,2020-03-06,Sell,,,,TWOU
6869,,,,,2020-03-06,Sell,,,,TWOU
6870,,,,,2020-03-06,Buy,,,,TWTR
6871,,,,,2020-03-06,Buy,,,,Z
6872,,,,,2020-03-06,Buy,,,,Z
6873,,,,,2020-03-06,Buy,,,,ADSK
6874,,,,,2020-03-06,Buy,,,,ADSK
6875,,,,,2020-03-06,Sell,,,,BIDU
6876,,,,,2020-03-06,Buy,,,,SPLK
6877,,,,,2020-03-06,Buy,,,,PINS
6878,,,,,2020-03-06,Buy,,,,ROKU
6879,,,,,2020-03-06,Buy,,,,ROKU
6880,,,,,2020-03-06,Sell,,,,SHOP
6881,,,,,2020-03-06,Buy,,,,SNAP
6882,,,,,2020-03-06,Buy,,,,SPLK
6883,,,,,2020-03-06,Buy,,,,SQ
6884,,,,,2020-03-06,Buy,,,,TWTR
6885,,,,,2020-03-05,Sell,,,,ARCT
6886,,,,,2020-03-05,Buy,,,,CDXS
6887,,,,,2020-03-05,Sell,,,,CGEN
6888,,,,,2020-03-05,Buy,,,,CLLS
6889,,,,,2020-03-05,Buy,,,,CLLS
6890,,,,,2020-03-05,Sell,,,,INO
6891,,,,,2020-03-05,Buy,,,,PSNL
6892,,,,,2020-03-05,Buy,,,,PSTG
6893,,,,,2020-03-05,Buy,,,,PSTG
6894,,,,,2020-03-05,Buy,,,,PD
6895,,,,,2020-03-05,Buy,,,,ROKU
6896,,,,,2020-03-05,Buy,,,,SPLK
6897,,,,,2020-03-05,Buy,,,,SPLK
6898,,,,,2020-03-05,Sell,,,,TCEHY
6899,,,,,2020-03-05,Sell,,,,TCEHY
6900,,,,,2020-03-04,Sell,,,,8473 JP
6901,,,,,2020-03-04,Buy,,,,TREE
6902,,,,,2020-03-04,Sell,,,,ARCT
6903,,,,,2020-03-04,Buy,,,,FATE
6904,,,,,2020-03-04,Buy,,,,FATE
6905,,,,,2020-03-04,Sell,,,,INO
6906,,,,,2020-03-04,Sell,,,,EB
6907,,,,,2020-03-03,Buy,,,,4689 JP
6908,,,,,2020-03-03,Buy,,,,CDNA
6909,,,,,2020-03-03,Buy,,,,MCRB
6910,,,,,2020-03-03,Sell,,,,NSTG
6911,,,,,2020-03-03,Buy,,,,ADSK
6912,,,,,2020-03-03,Buy,,,,ADSK
6913,,,,,2020-03-03,Buy,,,,AVAV
6914,,,,,2020-03-03,Sell,,,,CGEN
6915,,,,,2020-03-03,Sell,,,,EB
6916,,,,,2020-03-03,Sell,,,,EB
6917,,,,,2020-03-03,Sell,,,,IOVA
6918,,,,,2020-03-03,Sell,,,,IOVA
6919,,,,,2020-03-03,Sell,,,,NSTG
6920,,,,,2020-03-03,Sell,,,,NSTG
6921,,,,,2020-03-03,Buy,,,,PRLB
6922,,,,,2020-03-03,Buy,,,,PSTG
6923,,,,,2020-03-03,Buy,,,,ADSK
6924,,,,,2020-03-03,Buy,,,,ADSK
6925,,,,,2020-03-03,Sell,,,,TCEHY
6926,,,,,2020-03-03,Sell,,,,BABA
6927,,,,,2020-03-03,Buy,,,,LC
6928,,,,,2020-03-03,Sell,,,,NFLX
6929,,,,,2020-03-03,Buy,,,,PD
6930,,,,,2020-03-03,Buy,,,,PD
6931,,,,,2020-03-03,Buy,,,,PINS
6932,,,,,2020-03-03,Buy,,,,PSTG
6933,,,,,2020-03-03,Buy,,,,PSTG
6934,,,,,2020-03-03,Sell,,,,SHOP
6935,,,,,2020-03-03,Sell,,,,TCEHY
6936,,,,,2020-03-03,Buy,,,,Z
6937,,,,,2020-03-02,Buy,,,,AMZN
6938,,,,,2020-03-02,Sell,,,,PDD
6939,,,,,2020-03-02,Buy,,,,PINS
6940,,,,,2020-03-02,Sell,,,,SHOP
6941,,,,,2020-03-02,Sell,,,,SHOP
6942,,,,,2020-03-02,Sell,,,,SHOP
6943,,,,,2020-03-02,Buy,,,,Z
6944,,,,,2020-03-02,Buy,,,,MCRB
6945,,,,,2020-03-02,Buy,,,,PSNL
6946,,,,,2020-03-02,Sell,,,,TDOC
6947,,,,,2020-03-02,Buy,,,,AVAV
6948,,,,,2020-03-02,Sell,,,,CGEN
6949,,,,,2020-03-02,Sell,,,,CGEN
6950,,,,,2020-03-02,Sell,,,,IOVA
6951,,,,,2020-03-02,Sell,,,,IOVA
6952,,,,,2020-03-02,Sell,,,,NFLX
6953,,,,,2020-03-02,Sell,,,,NSTG
6954,,,,,2020-03-02,Buy,,,,PD
6955,,,,,2020-03-02,Buy,,,,PD
6956,,,,,2020-03-02,Buy,,,,PINS
